timestep_idx,local_iter_idx,timestep_value,n_units,sd_bias,avg_global_mean,best_global_mean,best_local_k_mean,best_local_so_far_mean,gain_vs_avg_global_mean,gain_vs_best_global_mean,marginal_gain_mean,z_gain_vs_avg_global_mean,z_gain_vs_best_global_mean,z_marginal_gain_mean,p_gain_vs_avg_global_pos,p_marginal_pos,gain_vs_avg_global_se,gain_vs_best_global_se,marginal_gain_se,z_gain_vs_avg_global_se,z_gain_vs_best_global_se,z_marginal_gain_se
0,0,981.0,5,0.06477476811008961,0.8516476999942799,0.8953506708145141,0.8756853342056274,0.8756853342056274,0.02403763421134748,-0.019665336608886717,,0.3710956428357058,-0.30359563117947397,,0.8,0.0,0.010434615001020907,0.013885462624443911,,0.16109073494923964,0.21436530040284385,
0,1,981.0,5,0.06477476811008961,0.8516476999942799,0.8953506708145141,0.8930613398551941,0.8932000041007996,0.0415523041065196,-0.0021506667137145994,0.01751466989517212,0.6414890445597322,-0.03320222945544751,0.2703934017240265,1.0,0.8,0.019112139173281466,0.002012608688387259,0.015337488927296547,0.29505530827681137,0.03107087446406104,0.2367818422943533
0,2,981.0,5,0.06477476811008961,0.8516476999942799,0.8953506708145141,0.8945186734199524,0.8945186734199524,0.042870973425672435,-0.0008319973945617676,0.001318669319152832,0.6618468066579563,-0.012844467357223499,0.020357762098224014,1.0,1.0,0.01964590659433318,0.0024613776419839827,0.0005401921039907762,0.30329566847608747,0.03799901896677863,0.008339545161669723
0,3,981.0,5,0.06477476811008961,0.8516476999942799,0.8953506708145141,0.8950466513633728,0.8951319932937623,0.043484293299482245,-0.00021867752075195314,0.0006133198738098144,0.671315306379444,-0.0033759676357357896,0.00946849972148771,1.0,0.8,0.01984817637393777,0.002645389875613612,0.00022888801160939694,0.30641833159795023,0.04083982008422743,0.003533598317486594
0,4,981.0,5,0.06477476811008961,0.8516476999942799,0.8953506708145141,0.8961946725845337,0.8964960098266601,0.044848309832380195,0.001145339012145996,0.0013640165328979493,0.6923731437549433,0.017681869739763573,0.02105783737549936,1.0,0.8,0.020450483807904263,0.003213370361057768,0.0006504679829978632,0.3157168200609706,0.04960836533750923,0.010041996320115628
0,5,981.0,5,0.06477476811008961,0.8516476999942799,0.8953506708145141,0.8959373354911804,0.8965666770935059,0.0449189770992259,0.0012160062789916993,7.066726684570312e-05,0.6934641127990254,0.01877283878384566,0.001090969044082084,1.0,0.2,0.020511867356993434,0.003276216260232448,7.066726684570312e-05,0.31666446604844606,0.05057858724656908,0.001090969044082084
0,6,981.0,5,0.06477476811008961,0.8516476999942799,0.8953506708145141,0.8976066589355469,0.8979640007019043,0.04631630070762434,0.002613329887390137,0.0013973236083984375,0.7150361484722922,0.04034487445711245,0.021572035673266796,1.0,0.8,0.020625919424474337,0.0032861285727083275,0.0007490768573578197,0.3184252144202049,0.05073161461764407,0.011564330976603528
0,7,981.0,5,0.06477476811008961,0.8516476999942799,0.8953506708145141,0.8979880094528199,0.8985946774482727,0.04694697745399275,0.003244006633758545,0.0006306767463684082,0.7247726055028527,0.05008133148767295,0.0097364570305605,1.0,0.4,0.02095884952068721,0.003644933203501196,0.0004345645375814871,0.3235650258919655,0.0562708800023237,0.006708855164759707
0,8,981.0,5,0.06477476811008961,0.8516476999942799,0.8953506708145141,0.8989693403244019,0.8995440006256104,0.047896300631330394,0.004193329811096191,0.0009493231773376465,0.7394283612089049,0.06473708719372503,0.014655755706052084,1.0,0.6,0.02067950850127024,0.003495963595573464,0.0006169519800419251,0.31925252848646024,0.05397107079768791,0.009524572577293808
0,9,981.0,5,0.06477476811008961,0.8516476999942799,0.8953506708145141,0.8985226631164551,0.8997733354568481,0.048125635462568185,0.004422664642333984,0.00022933483123779296,0.742968857576997,0.06827758356181733,0.003540496368092296,1.0,0.2,0.020883110451123107,0.003721234657591271,0.00022933483123779296,0.3223957577992511,0.0574488302492531,0.003540496368092296
