timestep_idx,timestep_value,avg_global_mean,best_local_mean,gap_mean,n_units,sd_bias,n_bias,z_raw,z_profile
0,981.0,0.8516476999942799,0.9014279961585998,0.04978029616431989,5,0.06477476811008961,400,0.7685136916231721,0.7685136916231721
1,961.0,0.8937873365637568,0.9101186633110047,0.01633132674724789,5,0.03722323348851406,400,0.43874014202144024,0.43874014202144024
2,941.0,0.9013907465035164,0.9139053344726562,0.01251458796913978,5,0.03409003167455786,400,0.367104028785039,0.367104028785039
3,921.0,0.9028124293350371,0.9177506685256958,0.014938239190658665,5,0.03177151802935361,400,0.4701770679278614,0.4701770679278614
4,901.0,0.9079915795267615,0.9198760032653809,0.011884423738619287,5,0.025851594222463952,400,0.4597172474683291,0.4597172474683291
5,881.0,0.9126305908269667,0.9229373455047607,0.010306754677794027,5,0.025195807180212724,400,0.40906626265533313,0.40906626265533313
6,861.0,0.9134699299462469,0.9231186747550965,0.009648744808849497,5,0.023823198530388126,400,0.405014666546218,0.405014666546218
7,841.0,0.9149741862089199,0.9243533253669739,0.009379139158053973,5,0.023338489833253716,400,0.4018742954263544,0.4018742954263544
8,821.0,0.9099712576216687,0.9228520035743714,0.012880745952702588,5,0.01891218740808265,400,0.6810817635615033,0.6810817635615033
9,801.0,0.9054704960461433,0.9175653219223022,0.012094825876159065,5,0.017541518436641625,400,0.689497087714754,0.689497087714754
10,781.0,0.8992569091653302,0.9119773268699646,0.012720417704634479,5,0.02071315775434673,400,0.6141225715313762,0.6141225715313762
11,761.0,0.9055958276851472,0.9153546690940857,0.009758841408938502,5,0.016789378196857965,400,0.5812509131972984,0.5812509131972984
12,741.0,0.9084326238436032,0.9170120000839234,0.008579376240320059,5,0.015216921690266413,400,0.5638049807279947,0.5638049807279947
13,721.0,0.9101641037529677,0.9194933414459229,0.00932923769295515,5,0.01566271466444433,400,0.5956335088024874,0.5956335088024874
14,701.0,0.9090491985398528,0.9182626605033875,0.009213461963534786,5,0.015253407524178083,400,0.6040264740144511,0.6040264740144511
15,681.0,0.9077023944214646,0.9155746698379517,0.007872275416486963,5,0.013490262046167639,400,0.5835524461678894,0.5835524461678894
16,661.0,0.9067504487505825,0.9168920040130615,0.01014155526247893,5,0.013199979214699191,400,0.7683008508972141,0.7683008508972141
17,641.0,0.9061334457495536,0.9151093244552613,0.008975878705707707,5,0.01474115943193362,400,0.6088990996368545,0.6088990996368545
18,621.0,0.9054821194646424,0.9138346672058105,0.008352547741168115,5,0.015525005598808084,400,0.5380061017053271,0.5380061017053271
19,601.0,0.9049039970900641,0.914905333518982,0.010001336428917984,5,0.013714142672256442,400,0.7292717210205619,0.7292717210205619
20,581.0,0.9052566687791819,0.9125399947166443,0.00728332593746237,5,0.014092774340370784,400,0.5168127837396951,0.5168127837396951
21,561.0,0.9039960777290613,0.9119546771049499,0.007958599375888675,5,0.012688363471093063,400,0.6272360808405393,0.6272360808405393
22,541.0,0.9036337360606705,0.9109986662864685,0.00736493022579805,5,0.012527920493214805,400,0.5878813031889003,0.5878813031889003
23,521.0,0.900679823336989,0.9086640000343322,0.00798417669734317,5,0.013351012845309491,400,0.5980202992725147,0.5980202992725147
24,501.0,0.899574769538661,0.9067066550254822,0.007131885486821132,5,0.013807105125223446,400,0.5165373495847642,0.5165373495847642
25,481.0,0.8986736095212773,0.904693341255188,0.006019731733910727,5,0.013504380362549622,400,0.44576141757711896,0.44576141757711896
26,461.0,0.8947440787215593,0.9018800020217895,0.007135923300230362,5,0.011264255578251081,400,0.633501543946529,0.633501543946529
27,441.0,0.8933239149179049,0.9000626564025879,0.0067387414846830085,5,0.011386494522452299,400,0.5918187965045182,0.5918187965045182
28,421.0,0.888544500754868,0.8960199952125549,0.007475494457686938,5,0.010670969124159104,400,0.7005450367916816,0.7005450367916816
29,401.0,0.8868383715725843,0.8927626609802246,0.005924289407640271,5,0.008834909945845956,400,0.6705545890058319,0.6705545890058319
30,381.0,0.8844636006454538,0.8898759961128235,0.00541239546736969,5,0.0074490428419208094,400,0.726589386345112,0.726589386345112
31,361.0,0.8805576305132149,0.8868573546409607,0.006299724127745687,5,0.007410897029905568,400,0.8500622937174934,0.8500622937174934
32,341.0,0.8797388974430256,0.8852879881858826,0.005549090742856944,5,0.005810071005132132,400,0.9550813988254774,0.9550813988254774
33,321.0,0.8784178631100719,0.883897340297699,0.005479477187627024,5,0.005999218716357037,400,0.9133651308106299,0.9133651308106299
34,301.0,0.877430968013879,0.8815013408660889,0.0040703728522099025,5,0.006178786891143626,400,0.6587656968788125,0.6587656968788125
35,281.0,0.8747237349088696,0.8787799954414368,0.004056260532567269,5,0.005295984199825703,400,0.7659125064422898,0.7659125064422898
36,261.0,0.8724233870106286,0.8761373519897461,0.0037139649791174457,5,0.004884865556530933,400,0.7603003472945075,0.7603003472945075
37,241.0,0.8702506078206325,0.8736320018768311,0.003381394056198572,5,0.004513472386047948,400,0.7491779647641452,0.7491779647641452
38,221.0,0.8683658424067138,0.8716560006141663,0.0032901582074525092,5,0.00481572760263294,400,0.683211028309337,0.683211028309337
39,201.0,0.8664237254669945,0.8695666670799256,0.0031429416129310052,5,0.004054591695595859,400,0.7751561313423746,0.7751561313423746
40,181.0,0.8639767921825048,0.8666453242301941,0.0026685320476893095,5,0.003926376395507039,400,0.679642443537231,0.679642443537231
41,161.0,0.861671518729044,0.8643773436546326,0.0027058249255885293,5,0.00384705476125912,400,0.7033497294701695,0.7033497294701695
42,141.0,0.8593550494585308,0.8614439845085144,0.002088935049983598,5,0.0037377361250042406,400,0.5588770796336587,0.5588770796336587
43,121.0,0.8565677034279757,0.8591306686401368,0.0025629652121610834,5,0.0035684623982019177,400,0.718226767207219,0.718226767207219
44,101.0,0.8541216052675817,0.8559679865837098,0.0018463813161278876,5,0.0030855756383572574,400,0.5983912023336074,0.5983912023336074
45,81.0,0.8514477368118444,0.8534173369407654,0.0019696001289210897,5,0.0026594684698132737,400,0.7405991653134278,0.7405991653134278
46,61.0,0.8493264793331792,0.8512106776237488,0.0018841982905696054,5,0.0026297079032024887,400,0.7165047830122148,0.7165047830122148
47,41.0,0.8478418785036226,0.8496586561203003,0.0018167776166776895,5,0.002359396899727305,400,0.7700178028070095,0.7700178028070095
