timestep_idx,timestep_value,avg_global_mean,best_local_mean,gap_mean,n_units,sd_bias,n_bias,z_raw,z_profile
0,981.0,0.4424146468239615,0.5166431903839112,0.07422854355994966,5,0.04366571932851161,400,1.69992719005735,1.69992719005735
1,961.0,0.5148380523053386,0.5823160886764527,0.06747803637111405,5,0.03458818373649981,400,1.950898517400514,1.950898517400514
2,941.0,0.5714848280600189,0.63045734167099,0.0589725136109712,5,0.03636884145312844,400,1.6215120211341896,1.6215120211341896
3,921.0,0.6092069797119491,0.6572263598442077,0.048019380132258614,5,0.03284131999148605,400,1.4621635228032066,1.4621635228032066
4,901.0,0.6290387640787166,0.6701858639717102,0.04114709989299359,5,0.030191513974052887,400,1.3628697099574445,1.3628697099574445
5,881.0,0.6464217170634123,0.6831630587577819,0.03674134169436967,5,0.029453479598135768,400,1.2474363706994802,1.2474363706994802
6,861.0,0.6642721450109692,0.7126905083656311,0.048418363354661875,5,0.031014399374183953,400,1.5611575375199687,1.5611575375199687
7,841.0,0.6817953746132664,0.7119647979736328,0.030169423360366366,5,0.02577540488136791,400,1.1704733058208807,1.1704733058208807
8,821.0,0.6893535867033533,0.7230570435523986,0.03370345684904543,5,0.02628681714910138,400,1.2821429333903815,1.2821429333903815
9,801.0,0.7021304002210159,0.7351260185241699,0.03299561830315405,5,0.027056835996758316,400,1.2194928596642733,1.2194928596642733
10,781.0,0.7105626959439905,0.7429658055305481,0.032403109586557635,5,0.028608811099260736,400,1.1326269195225294,1.1326269195225294
11,761.0,0.7246674522649683,0.7535247921943664,0.028857339929398117,5,0.030796285043755395,400,0.9370396425542099,0.9370396425542099
12,741.0,0.7290993008692167,0.7602524399757385,0.031153139106521798,5,0.032111455187764266,400,0.970156566382964,0.970156566382964
13,721.0,0.7363274311219459,0.7671383380889892,0.03081090696704336,5,0.03266825613105855,400,0.9431451389212857,0.9431451389212857
14,701.0,0.7449597292352085,0.7678521037101745,0.02289237447496606,5,0.026738045118350293,400,0.8561723332292175,0.8561723332292175
15,681.0,0.7501801430795136,0.7761937975883484,0.026013654508834794,5,0.029856467707354586,400,0.8712904273812275,0.8712904273812275
