timestep_idx,timestep_value,n_units,max_local_iter_idx,z_start_gain_vs_avg_global,z_end_gain_vs_avg_global,z_end_gain_vs_best_global,z_end_marginal,recommended_local_steps,k_90pct_gain_steps,gain_vs_avg_global_end
17,641.0,5,19,-0.21431277251964875,1.2015247999632592,0.252248710452289,0.018468351167624387,0,13,0.017830871759044253
18,621.0,5,19,0.2671294710605613,1.0873652602488686,0.27732344471082043,0.007200497529190551,20,14,0.0158472441782181
19,601.0,5,19,0.5521275940386798,1.097282747244417,0.2089440561343935,0.026595485987387375,20,16,0.015878940103230633
20,581.0,5,19,0.4868008783048481,1.4493617543881565,0.17667676612522537,0.0015896525831526447,20,11,0.016792415067293807
21,561.0,5,19,0.48959630090222694,1.2939085577404874,0.291792602169492,0.015072978461204378,20,11,0.01647454795383272
22,541.0,5,19,-0.5888837670916722,1.2870720655736327,0.2919082651959645,0.06269027454307476,0,18,0.014583096048122402
23,521.0,5,19,0.4033241928965201,1.1143656145719478,0.22511054773338895,0.05120575828777736,20,8,0.011893795054557876
24,501.0,5,19,0.20775268337654387,1.0386211684661197,0.15663221343221428,0.0,20,12,0.011412668584370556
25,481.0,5,19,0.4117326627835012,1.1407762667605201,0.11412315816500695,0.0074930148379095275,20,15,0.012844085268430661
26,461.0,5,19,0.1668655658538583,1.064724582169572,0.18738909132896456,0.0072084355247791585,20,5,0.009656145666746196
27,441.0,5,19,0.356843335704944,1.1291073837553383,0.022600982243340638,0.0029129911762262846,20,14,0.009842054861119198
28,421.0,5,19,-0.061984989559001925,0.999341964954799,0.14484201270696392,0.0005057343142310645,0,16,0.00807971278826396
29,401.0,5,19,-0.09060198374599467,0.8466225258775358,0.09768034227989443,0.0,0,11,0.007093777610540042
30,381.0,5,19,0.11125369340782709,0.8015537772230832,0.0996143159472663,0.002379619108220242,20,8,0.005854540856248236
31,361.0,5,19,-0.21791414865845934,0.8047999539367133,0.015236707329750443,0.0010771836358782272,0,16,0.006083156632946429
32,341.0,5,19,0.2039860753575354,0.7503958556947758,0.11372585753111744,0.019578341805037917,20,11,0.005571483016078615
33,321.0,5,19,0.39821585659095665,0.6096221821610736,0.11388457348589094,0.005894928257629717,20,7,0.004381368286212628
34,301.0,5,19,0.24460484518186867,0.6195850525999047,0.13066175064057675,0.018437434861456863,20,13,0.00361981816357424
35,281.0,5,19,-0.1540443065291999,0.6404824088654215,0.03961815269173976,0.005100203155906754,0,12,0.003793468138658751
36,261.0,5,19,-0.010740567372825948,0.6905065628337413,0.17016558704471013,0.002991574434957564,0,12,0.003951232060376397
