timestep_idx,local_iter_idx,timestep_value,n_units,sd_bias,avg_global_mean,best_global_mean,best_local_k_mean,best_local_so_far_mean,gain_vs_avg_global_mean,gain_vs_best_global_mean,marginal_gain_mean,z_gain_vs_avg_global_mean,z_gain_vs_best_global_mean,z_marginal_gain_mean,p_gain_vs_avg_global_pos,p_marginal_pos,gain_vs_avg_global_se,gain_vs_best_global_se,marginal_gain_se,z_gain_vs_avg_global_se,z_gain_vs_best_global_se,z_marginal_gain_se
0,0,981.0,5,0.04720983760043129,0.43986389079179444,0.5099473118782043,0.4522270143032074,0.4522270143032074,0.012363123511412989,-0.05772029757499695,,0.2618760016937665,-1.2226328347816566,,0.6,0.0,0.010877960061865507,0.004131371760685066,,0.23041723112739812,0.08751082339345566,
0,1,981.0,5,0.04720983760043129,0.43986389079179444,0.5099473118782043,0.46661871671676636,0.467900812625885,0.0280369218340906,-0.04204649925231933,0.015673798322677613,0.5938788027907654,-0.8906300336846575,0.3320028010969989,0.8,0.6,0.010761642478469535,0.01071076689783126,0.00956598345631812,0.2279533890701463,0.22687574120639226,0.2026269087659545
0,2,981.0,5,0.04720983760043129,0.43986389079179444,0.5099473118782043,0.48545941710472107,0.4861635208129883,0.046299630021193874,-0.023783791065216064,0.018262708187103273,0.9807199595359526,-0.5037888769394704,0.38684115674518715,1.0,0.6,0.009261241124385465,0.012025943616280897,0.011597323192721831,0.19617184881612176,0.25473384844202546,0.24565479955423275
0,3,981.0,5,0.04720983760043129,0.43986389079179444,0.5099473118782043,0.48916996717453004,0.4895417094230652,0.04967781863127078,-0.02040560245513916,0.003378188610076904,1.0522768379702483,-0.4322319985051747,0.0715568784342957,1.0,0.8,0.010670284794366231,0.013471604732285002,0.002230590156756203,0.22601824824469957,0.28535587955849967,0.04724841834100749
0,4,981.0,5,0.04720983760043129,0.43986389079179444,0.5099473118782043,0.4929413259029388,0.4934161305427551,0.05355223975096072,-0.01653118133544922,0.0038744211196899414,1.1343449262462932,-0.35016391022912974,0.08206808827604495,1.0,0.6,0.009280762528916305,0.012907876785519318,0.0017735413856098962,0.1965853517113459,0.273414979622836,0.037567199460006064
0,5,981.0,5,0.04720983760043129,0.43986389079179444,0.5099473118782043,0.49512588381767275,0.4959040641784668,0.05604017338667239,-0.01404324769973755,0.00248793363571167,1.1870444008085388,-0.2974644356668843,0.052699474562245496,1.0,0.4,0.00926568141309061,0.012982814744892044,0.0016870348102758996,0.19626590312621542,0.27500231741473813,0.035734814945868144
0,6,981.0,5,0.04720983760043129,0.43986389079179444,0.5099473118782043,0.4943400025367737,0.49691962003707885,0.057055729245284445,-0.013027691841125488,0.0010155558586120606,1.208555931248601,-0.2759529052268223,0.02151153044006198,1.0,0.6,0.008886709366658793,0.01325843059694292,0.000551186261316122,0.18823850744569404,0.2808404195150588,0.011675241630381854
0,7,981.0,5,0.04720983760043129,0.43986389079179444,0.5099473118782043,0.49669885635375977,0.4982399642467499,0.05837607345495547,-0.011707347631454468,0.0013203442096710206,1.2365234964168181,-0.24798534005860495,0.027967565168217363,1.0,0.2,0.008437871199985927,0.013714957873133446,0.0013203442096710206,0.17873120580081897,0.29051059207643093,0.027967565168217363
0,8,981.0,4,0.04720983760043129,0.43957691646060276,0.5068005174398422,0.4938483387231827,0.4961881712079048,0.05661125474730207,-0.010612346231937408,0.00023396313190460205,1.199141060946689,-0.22479099211814396,0.004955813105835904,1.0,0.25,0.010809834091207502,0.017769820779630827,0.00023396313190460205,0.22897418505647957,0.3764008029434206,0.004955813105835904
0,9,981.0,5,0.04720983760043129,0.43986389079179444,0.5099473118782043,0.4929876208305359,0.498756343126297,0.05889245233450259,-0.011190968751907348,0.0003292083740234375,1.2474614471871128,-0.2370473892883104,0.006973300285625849,1.0,0.2,0.008881615816277746,0.013938990325463968,0.0003292083740234375,0.18813061572990045,0.2952560532709103,0.006973300285625849
0,10,981.0,5,0.04720983760043129,0.43986389079179444,0.5099473118782043,0.49588297605514525,0.5013966679573059,0.0615327771655115,-0.008550643920898438,0.0026403248310089113,1.3033888759860797,-0.18111996048934348,0.055927428798966894,1.0,0.6,0.009042224145721743,0.014317758576682972,0.0013141793045696108,0.1915326255144571,0.3032791321559677,0.02783697998905222
0,11,981.0,5,0.04720983760043129,0.43986389079179444,0.5099473118782043,0.4968462884426117,0.5031170964241027,0.06325320563230838,-0.0068302154541015625,0.001720428466796875,1.3398310362272994,-0.1446778002481238,0.03644216024121968,1.0,0.2,0.010574776239013924,0.01516897719936366,0.001720428466796875,0.22399518355719397,0.32130966701789887,0.03644216024121968
0,12,981.0,5,0.04720983760043129,0.43986389079179444,0.5099473118782043,0.5075549066066742,0.5081248760223389,0.06826098523054445,-0.0018224358558654786,0.005007779598236084,1.4459059530829832,-0.03860288339244,0.10607491685568379,1.0,0.2,0.010574749982454763,0.010990411816881365,0.005007779598236084,0.22399462739007928,0.2327991871080057,0.10607491685568379
0,13,981.0,5,0.04720983760043129,0.43986389079179444,0.5099473118782043,0.5110048949718475,0.511085706949234,0.0712218161574396,0.001138395071029663,0.0029608309268951416,1.5086223502871983,0.02411351381177519,0.06271639720421518,1.0,0.8,0.010792080756802037,0.009891089939257866,0.0015299615225449915,0.22859813346833974,0.2095133226886488,0.032407684506227025
0,14,981.0,5,0.04720983760043129,0.43986389079179444,0.5099473118782043,0.5103323519229889,0.5117899775505066,0.07192608675871218,0.001842665672302246,0.000704270601272583,1.5235402283623845,0.039031391886961565,0.01491787807518637,1.0,0.4,0.010606107428758347,0.009720628969748278,0.0004773053647421219,0.22465884162798844,0.20590261402762108,0.010110294569997872
0,15,981.0,5,0.04720983760043129,0.43986389079179444,0.5099473118782043,0.517112934589386,0.5183148384094238,0.07845094761762941,0.008367526531219482,0.006524860858917236,1.6617499996846572,0.17724116320923416,0.1382097713222726,1.0,0.6,0.014052665940465468,0.006859637157951998,0.006049388671331391,0.2976639330853595,0.14530101153936886,0.12813830715817004
0,16,981.0,5,0.04720983760043129,0.43986389079179444,0.5099473118782043,0.5157224953174591,0.5186474442481994,0.07878355345640506,0.008700132369995117,0.00033260583877563475,1.668795265156458,0.1842864286810348,0.0070452654718006534,1.0,0.2,0.014199953136926898,0.007089154649108741,0.00033260583877563475,0.30078377428684855,0.150162656968004,0.007045265471800653
0,17,981.0,5,0.04720983760043129,0.43986389079179444,0.5099473118782043,0.5157074213027955,0.5188671827316285,0.079003291939834,0.008919870853424073,0.00021973848342895507,1.673449771390704,0.18894093491528094,0.004654506234246136,1.0,0.2,0.014131038339716915,0.007186596815884446,0.00021973848342895507,0.2993240192715219,0.1522266794626464,0.004654506234246135
0,18,981.0,4,0.04720983760043129,0.44106942247353326,0.5187614113092422,0.5259183943271637,0.5297326892614365,0.0886632667879032,0.010971277952194214,0.0,1.878067608245558,0.23239389309176492,0.0,1.0,0.0,0.01331484951055399,0.008891841083187434,0.0,0.2820354864010875,0.1883472075978122,0.0
0,19,981.0,5,0.04720983760043129,0.43986389079179444,0.5099473118782043,0.5166751205921173,0.5199079275131225,0.08004403672132815,0.009960615634918213,0.0010407447814941406,1.69549485424616,0.21098601777073717,0.022045082855456227,1.0,0.4,0.013537192301800451,0.007033591231607511,0.000935325965882646,0.2867451571508219,0.1489857112226807,0.01981209877904984
1,0,961.0,5,0.053369900559486115,0.5006746123127072,0.546875411272049,0.5064828872680665,0.5064828872680665,0.005808274955359227,-0.04039252400398254,,0.10883053733415375,-0.756840908087528,,0.6,0.0,0.007614532969055542,0.005246047655176041,,0.14267467035222184,0.09829599830954891,
1,1,961.0,5,0.053369900559486115,0.5006746123127072,0.546875411272049,0.5182008981704712,0.5185835123062134,0.0179088999935062,-0.02829189896583557,0.012100625038146972,0.335561801797718,-0.5301096436239638,0.22673126446356426,0.8,0.6,0.0070756494078283525,0.006880691587910809,0.006535570484387978,0.13257752653936147,0.12892457201117674,0.12245798504165148
1,2,961.0,5,0.053369900559486115,0.5006746123127072,0.546875411272049,0.5179266571998596,0.519339406490326,0.018664794177618748,-0.027536004781723022,0.0007558941841125488,0.3497251068851995,-0.5159463385364823,0.01416330508748145,0.8,0.6,0.006823064251345872,0.006854979795670728,0.0004176580422562336,0.12784479978074687,0.12844280622239804,0.007825722699084138
1,3,961.0,5,0.053369900559486115,0.5006746123127072,0.546875411272049,0.5321834206581115,0.5321834206581115,0.03150880834540439,-0.014691990613937379,0.012844014167785644,0.5903853673155088,-0.27528607810617295,0.24066026043030941,1.0,1.0,0.0033055640818197033,0.004641303506206469,0.005077430718940898,0.061936860424450665,0.0869648145780836,0.09513659695283844
1,4,961.0,5,0.053369900559486115,0.5006746123127072,0.546875411272049,0.5408772170543671,0.5410289108753205,0.04035429856261326,-0.005846500396728516,0.008845490217208863,0.7561246721386399,-0.10954677328304188,0.16573930482313107,1.0,0.8,0.005928305770937991,0.0040108662274733345,0.00619504422551135,0.11107957310751028,0.07515221473952009,0.11607749237992959
1,5,961.0,5,0.053369900559486115,0.5006746123127072,0.546875411272049,0.541305810213089,0.5430961191654206,0.042421506852713356,-0.003779292106628418,0.0020672082901000977,0.7948582704483461,-0.07081317497333571,0.03873359830970617,1.0,0.4,0.007381177058446782,0.005281275058091161,0.0017754642378384423,0.13830224491836404,0.09895605955279324,0.03326714532397356
1,6,961.0,5,0.053369900559486115,0.5006746123127072,0.546875411272049,0.5418473780155182,0.5440030992031097,0.043328486890402564,-0.002872312068939209,0.000906980037689209,0.8118524943120067,-0.053818951109675175,0.01699422386366054,1.0,0.2,0.007091817746311864,0.005436926533063779,0.000906980037689209,0.13288047517359192,0.10187252507626052,0.016994223863660538
1,7,961.0,5,0.053369900559486115,0.5006746123127072,0.546875411272049,0.5431049346923829,0.5450636982917786,0.04438908597907139,-0.0018117129802703857,0.0010605990886688233,0.8317251018595264,-0.0339463435621554,0.01987260754751977,1.0,0.2,0.006985393936313023,0.005573174635246976,0.0010605990886688233,0.1308863959476016,0.10442542663228524,0.019872607547519766
1,8,961.0,5,0.053369900559486115,0.5006746123127072,0.546875411272049,0.5434444963932037,0.5452258467674256,0.044551234454718355,-0.001649564504623413,0.00016214847564697266,0.8347633026795981,-0.030908142742083755,0.0030382008200716413,1.0,0.2,0.007002132469472763,0.005540282918082777,0.00016214847564697263,0.13120002840680178,0.10380912949064941,0.0030382008200716413
1,9,961.0,5,0.053369900559486115,0.5006746123127072,0.546875411272049,0.5463124096393586,0.5469200491905213,0.04624543687781406,4.463791847229004e-05,0.0016942024230957031,0.8665078329360737,0.0008363875143918703,0.03174453025647564,1.0,0.6,0.006803345203218,0.005660944558673489,0.0008631514250881704,0.12747532095614433,0.10606998512886111,0.01617300043731769
1,10,961.0,5,0.053369900559486115,0.5006746123127072,0.546875411272049,0.5496474444866181,0.5511160731315613,0.0504414608188541,0.004240661859512329,0.004196023941040039,0.945129376110267,0.07945793068858514,0.07862154317419326,1.0,0.4,0.005218210732609643,0.0031848856935286344,0.004025833109073079,0.09777441362839757,0.05967569098201259,0.07543265149212493
1,11,961.0,5,0.053369900559486115,0.5006746123127072,0.546875411272049,0.5485987007617951,0.5512570083141327,0.050582396001425514,0.00438159704208374,0.00014093518257141113,0.9477701002093184,0.08209865478763653,0.002640724099051388,1.0,0.2,0.005174310317895881,0.0031757954887230142,0.00014093518257141113,0.09695184483487264,0.05950536642247011,0.002640724099051388
1,12,961.0,5,0.053369900559486115,0.5006746123127072,0.546875411272049,0.5508693575859069,0.5523039340972901,0.05162932178458286,0.005428522825241089,0.0010469257831573486,0.9673865089375011,0.10171506351581927,0.019616408728182745,1.0,0.4,0.005167825590808031,0.002493029078371061,0.001033870051846852,0.09683033951033823,0.04671226763093421,0.019371781491226505
1,13,961.0,5,0.053369900559486115,0.5006746123127072,0.546875411272049,0.5505157113075256,0.553110408782959,0.0524357964702518,0.006234997510910034,0.0008064746856689453,0.9824975486286853,0.11682610320700341,0.015111039691184141,1.0,0.4,0.004970574719697805,0.0023700339027449453,0.0005445915276851771,0.09313441973079188,0.04440768818940002,0.010204094854517768
1,14,961.0,5,0.053369900559486115,0.5006746123127072,0.546875411272049,0.5518411517143249,0.5534979462623596,0.05282333394965244,0.006622534990310669,0.0003875374794006348,0.9897588977287961,0.12408745230711435,0.007261349100110938,1.0,0.2,0.00494585381901419,0.002269085151356937,0.0003875374794006348,0.0926712204288546,0.04251619597506677,0.007261349100110938
1,15,961.0,5,0.053369900559486115,0.5006746123127072,0.546875411272049,0.5534038007259369,0.5540901184082031,0.053415506095495946,0.007214707136154175,0.0005921721458435059,1.0008545179123765,0.1351830724906946,0.011095620183580266,1.0,0.4,0.004971317675026754,0.0019673292817900616,0.0003867283360100273,0.09314834059856869,0.036862150035248335,0.007246188056486628
1,16,961.0,5,0.053369900559486115,0.5006746123127072,0.546875411272049,0.5551975846290589,0.5564080715179444,0.05573345920523716,0.009532660245895386,0.002317953109741211,1.0442863603074661,0.17861491488578435,0.0434318423950897,1.0,0.4,0.005503433950491482,0.0014373162017452578,0.0018767883241370203,0.1031186847417366,0.026931213786752787,0.03516567024600601
