timestep_idx,timestep_value,avg_global_mean,best_local_mean,gap_mean,n_units,sd_bias,n_bias,z_raw,z_profile
0,981.0,0.17012530207292015,0.20140860974788666,0.03128330767496652,5,0.030989256457974537,400,1.0094888116270475,1.0094888116270475
1,961.0,0.17901283661060263,0.21295285820961,0.033940021599007344,5,0.036524390151708545,400,0.9292426638208959,0.9292426638208959
2,941.0,0.188758164795224,0.22175776064395905,0.03299959584873505,5,0.035122860755816734,400,0.9395474952384096,0.9395474952384096
3,921.0,0.19339510252069303,0.22070994079113007,0.027314838270437035,5,0.03183206442180236,400,0.8580919512002686,0.8580919512002686
4,901.0,0.20011636694056714,0.22828372716903686,0.028167360228469718,5,0.03496342260509373,400,0.8056236526559641,0.8056236526559641
5,881.0,0.20520146247658017,0.2372001975774765,0.03199873510089637,5,0.035572252986284025,400,0.899541986087709,0.899541986087709
6,861.0,0.2151060583948195,0.2535913050174713,0.038485246622651834,5,0.037537379463684045,400,1.0252512874502817,1.0252512874502817
7,841.0,0.2233193185238473,0.2694941222667694,0.04617480374292211,5,0.03646590803189415,400,1.266245823428729,1.266245823428729
8,821.0,0.2243889018093696,0.2740456759929657,0.04965677418359608,5,0.029171193300849566,400,1.7022537841175631,1.7022537841175631
9,801.0,0.23933615015098875,0.2839744329452515,0.04463828279426271,5,0.03297026552146708,400,1.3538951563856387,1.3538951563856387
10,781.0,0.24939216665855643,0.28779255151748656,0.03840038485893015,5,0.029150161966364274,400,1.3173300684654687,1.3173300684654687
11,761.0,0.25347934421151874,0.277073073387146,0.023593729175627225,5,0.027749632405182956,400,0.8502357375811757,0.8502357375811757
12,741.0,0.24844004354985963,0.27618657648563383,0.02774653293577422,5,0.02826241974559056,400,0.9817465449009607,0.9817465449009607
13,721.0,0.24677543511424932,0.274778288602829,0.02800285348857969,5,0.024025903127663912,400,1.1655276115858735,1.1655276115858735
14,701.0,0.2440033876014555,0.2720086663961411,0.028005278794685513,5,0.02371214339434086,400,1.181052186170958,1.181052186170958
15,681.0,0.256134991379108,0.2775945723056793,0.02145958092657132,5,0.020074641392282135,400,1.0689895030862986,1.0689895030862986
16,661.0,0.2576718796523455,0.27997947335243223,0.022307593700086774,5,0.021501786787816578,400,1.0374762767495576,1.0374762767495576
17,641.0,0.2557124313246951,0.2799326181411743,0.024220186816479156,5,0.02453610964167024,400,0.9871241680199152,0.9871241680199152
18,621.0,0.25862369218341047,0.2806912064552307,0.02206751427182025,5,0.02482503087245294,400,0.8889219266312146,0.8889219266312146
19,601.0,0.25381344450099147,0.2773954212665558,0.023581976765564304,5,0.02667202588638466,400,0.8841464411446248,0.8841464411446248
20,581.0,0.2563693701183489,0.275860583782196,0.019491213663847113,5,0.02259406135951762,400,0.8626697676748829,0.8626697676748829
21,561.0,0.2570681519027777,0.2746566295623779,0.0175884776596002,5,0.02188832795291586,400,0.8035551046856982,0.8035551046856982
22,541.0,0.25785476934094564,0.2749398410320282,0.017085071691082553,5,0.018680546301717848,400,0.9145916513968022,0.9145916513968022
23,521.0,0.25861926818365755,0.2742426931858063,0.015623425002148767,5,0.018208531144300998,400,0.8580277496484755,0.8580277496484755
24,501.0,0.2611631777951921,0.2771478950977325,0.015984717302540412,5,0.018343328451514592,400,0.8714185838623288,0.8714185838623288
25,481.0,0.26068375737368726,0.2790540397167206,0.018370282343033322,5,0.017555824187214054,400,1.046392476202424,1.046392476202424
26,461.0,0.26123038044492264,0.2789374828338623,0.017707102388939654,5,0.016336014949741618,400,1.0839303491957029,1.0839303491957029
27,441.0,0.2635362667172438,0.2766946732997894,0.01315840658254564,5,0.01575170525789255,400,0.8353639410534608,0.8353639410534608
28,421.0,0.2645005489757047,0.2790625154972076,0.01456196652150299,5,0.016096363375558722,400,0.9046743156665055,0.9046743156665055
29,401.0,0.2649491069192292,0.2807138502597809,0.015764743340551716,5,0.015114481336430455,400,1.0430224491100422,1.0430224491100422
30,381.0,0.26746002609539,0.28009389638900756,0.012633870293617556,5,0.012878727945640732,400,0.9809874350124729,0.9809874350124729
31,361.0,0.2673970357347576,0.2785893499851227,0.011192314250365066,5,0.011943144591194891,400,0.937132943916347,0.937132943916347
32,341.0,0.2673574297115079,0.27794013619422914,0.01058270648272126,5,0.010407564493481852,400,1.016828335711885,1.016828335711885
33,321.0,0.2672904025187063,0.2794382393360138,0.01214783681730749,5,0.011366037920680024,400,1.0687837663470237,1.0687837663470237
34,301.0,0.269600285082522,0.2783749043941498,0.008774619311627763,5,0.010226085309970906,400,0.8580624007773633,0.8580624007773633
35,281.0,0.26991415877361025,0.2808916926383972,0.01097753386478697,5,0.010862050290230461,400,1.0106318394290972,1.0106318394290972
36,261.0,0.26907686894103927,0.2795387923717499,0.010461923430710618,5,0.010504557487172158,400,0.995941375301758,0.995941375301758
37,241.0,0.2687442772474015,0.27953492403030394,0.01079064678290243,5,0.010178696640509842,400,1.0601206779222703,1.0601206779222703
38,221.0,0.26969623099005396,0.2778996229171753,0.008203391927121323,5,0.009564318441539998,400,0.8577079461817307,0.8577079461817307
39,201.0,0.27029585563199043,0.2796496689319611,0.009353813299970598,5,0.010569511681921087,400,0.884980648251715,0.884980648251715
40,181.0,0.27096912949411683,0.2819484233856201,0.010979293891503289,5,0.011145972938785722,400,0.9850458054942496,0.9850458054942496
41,161.0,0.27346113390953947,0.281081885099411,0.007620751189871577,5,0.009843824169583435,400,0.7741657163502614,0.7741657163502614
42,141.0,0.2734103047073789,0.28082430362701416,0.007413998919635267,5,0.01000217598333469,400,0.7412385996795335,0.7412385996795335
43,121.0,0.27446243263393566,0.28190460205078127,0.007442169416845601,5,0.00924577955825679,400,0.8049261146616344,0.8049261146616344
44,101.0,0.2757314539723369,0.28268021941184995,0.006948765439513093,5,0.007633247923025195,400,0.9103288023113458,0.9103288023113458
45,81.0,0.2770903253296022,0.2835951805114746,0.006504855181872415,5,0.006825431454107538,400,0.9530320867786021,0.9530320867786021
46,61.0,0.2768035573059745,0.2845189869403839,0.007715429634409377,5,0.00607187938787475,400,1.2706822948124954,1.2706822948124954
47,41.0,0.27877882858945446,0.284597909450531,0.005819080861076564,5,0.006266793289613405,400,0.9285579709037347,0.9285579709037347
48,21.0,0.28197704265784473,0.28467356562614443,0.002696522968299675,5,0.006386533906895831,400,0.42222009741279487,0.42222009741279487
49,1.0,0.274935641530616,0.2776741564273834,0.002738514896767419,5,0.0012920323277892795,400,2.119540539247289,2.119540539247289
