timestep_idx,timestep_value,n_units,max_local_iter_idx,z_start_gain_vs_avg_global,z_end_gain_vs_avg_global,z_end_gain_vs_best_global,z_end_marginal,recommended_local_steps,k_90pct_gain_steps,gain_vs_avg_global_end
36,261.0,5,19,-0.06297071569376418,0.5817974606063825,0.10096851653600006,0.0,0,13,0.011201753095691557
37,241.0,5,19,0.22390099879206518,0.6209516631365203,0.1169485105784892,0.0,20,10,0.011072449341919921
38,221.0,5,19,0.13194884910000707,0.7428770833726952,0.1326049160208092,0.004639171973632888,20,10,0.01289567523181615
39,201.0,5,19,0.14123680192326088,0.7685468974256089,0.18322117945512345,0.0064363136501575085,20,6,0.012461623353511298
40,181.0,5,19,0.20093936878746063,0.8261673088329828,0.051581770560321163,0.00852848506961058,20,10,0.012165224832770988
41,161.0,5,19,0.1123443551587447,0.7948405646657498,0.09714360456848684,0.009531591696508943,20,12,0.009435383240316625
42,141.0,5,19,-0.05757261952529495,0.9333373472447695,0.22434239704296005,0.004359853720201935,0,13,0.010419723767620525
43,121.0,5,19,0.2851825009523935,1.1865898831203316,0.35212136269592137,0.0076115956235537335,20,16,0.011744046209187087
44,101.0,5,19,0.31235346012763693,1.15791845848489,0.21847285864635063,0.004273355653843581,20,14,0.010215263465550923
45,81.0,5,19,0.18921282912897727,1.341312437149217,0.16437236918705814,0.03041951819839305,20,8,0.011898368231444634
46,61.0,5,19,0.15585521997664392,0.9231734839255998,0.11909325650413821,0.0014451303972628467,20,8,0.006825202702524402
47,41.0,5,19,0.26244328582389154,1.1128211409900868,0.1986200666430734,0.0,20,12,0.010603535599305835
48,21.0,5,19,0.06558067221232311,0.6299780933853792,0.20026457734201425,0.0,20,17,0.005043920391592483
49,1.0,5,19,0.06741500857198765,2.0144199756444094,0.4949262200026923,0.04363042262959234,20,16,0.0034074657818597364
